start,end,today,sectionA/source_type,sectionA/inspection_date,sectionA/inspecting_agency,sectionA/new_inspectig_agency,sectionA/inspected_by,sectionA/district_regions,sectionA/district,sectionA/settlement_name,sectionA/settlement_distance,sectionA/establishing_agency,sectionA/new_establishing_agency,sectionA/establishing_date,sectionA/source_name,sectionA/source_gpspoint,sectionA/_source_gpspoint_latitude,sectionA/_source_gpspoint_longitude,sectionA/_source_gpspoint_altitude,sectionA/_source_gpspoint_precision,sectionA/gps_unit,sectionA/source_north,sectionA/source_east,sectionA/sources_cluster,sectionA/water_use_type,sectionA/water_use_type/rural,sectionA/water_use_type/urban,sectionA/water_source_photo,sectionB/permanent,sectionB/months_used,sectionB/functioning,sectionB/reason_for_non_functioning,sectionB/use_human,sectionB/use_camel,sectionB/use_cattle,sectionB/use_shoats,sectionB/use_agricultural,sectionC/bh_depth,sectionC/casing_type,sectionC/casing_size,sectionC/bh_static_level,sectionC/bh_yield,sectionC/bh_operating_hours,sectionC/bh_draw_down,sectionC/bh_recovery_time,sectionC/dw_depth,sectionC/dw_static_level,sectionC/dw_well_protection,sectionC/dw_yield,sectionC/dw_operating_hours,sectionC/dw_draw_down,sectionC/recovery_time,sectionC/dam_depth,sectionC/dam_length,sectionC/dam_width,sectionC/berkad_depth,sectionC/berkad_length,sectionC/berkad_width,sectionC/spring_protected,sectionC/cumulative_discharge_rate,sectionC/other_depth,sectionC/other_length,sectionC/other_width,sectionC/other_source_yield,sectionC/source_protected,sectionD/reservoir_type,sectionD/reservoir_capacity,sectionD/pipeline_type,sectionD/pipeline_length,sectionD/household_connections,sectionD/water_points_kiosks,sectionD/animal_troughs,sectionD/water_trucking,sectionD/number_of_trucks,sectionD/capacity_of_trucks,sectionD/pump_type,sectionD/pump_model,sectionD/pump_capacity,sectionD/pump_level,sectionD/source_of_power,sectionD/generator_type,sectionD/generator_capacity,sectionD/solar_type,sectionD/solar_capacity,sectionD/supply_system_condition,sectionD/supply_condition_description,sectionE/physical_wq_issues,sectionE/color_odor_smell_description,sectionE/temperature,sectionE/pH,sectionE/ec25,sectionE/tds,sectionE/water_sample_for_additional_analysis,sectionF/management_type,sectionF/WSC,sectionF/WSC_establishment_date,sectionF/WSC_male_members,sectionF/WSC_female_members,sectionF/users_charged_for_water,sectionF/water_cost_human,sectionF/animals_charged_for_water,sectionF/water_cost_camel,sectionF/water_cost_cattle,sectionF/water_cost_sheep_goats,sectionF/operator_name,sectionF/operator_contact,sectionG/intervention_agency,sectionG/new_intervening_agency,sectionG/intervention_description,sectionG/intervention_date,sectionG/currently_required_intervention,Currently Intervention_description Comments,Distance to the Settlement,GPS Coordinates,Water Usage Type,BH Depth,Casing Size,BH depth/SWL,Permanent/moths used,Kiosks,"BH yield, Operating Hrs, and number of water trucks filled",BH dept vs Pump Level,Reservoir capacity,User/Human,User/Agricultural,EC,Water_cost_camel,Water_cost_sheep_goats
2022-03-02T14:05:54.525+03:00,2022-03-06T22:23:48.017+03:00,2022-03-02,borehole,2022-03-02,"Puntland Ministry of Energy, Minerals and Water",,"Khadra
Mohamed 
Barre",mudug,Gaalkacyo,Jeexdin,,,,,Jeexdin BH,6.863615 47.5331415 287.1141357421875 4.556,6.863615,47.5331415,287.1141357,4.556,no,,,1,rural urban,TRUE,TRUE,http://classic.ona.io/api/v1/files/25176217?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1646219309271.jpg,yes,,yes,,7000,3000,,4000,0,220,pvc,8,,8,12,,2,,,,,,,,,,,,,,,,,,,,,Concrete/Masonry tank,16,Galvanised Steel,500,20,8,2,yes,5,30,Submersible Pump,,11,180,Hybrid - Solar/Generator,Parkins,50,YL320P_35b,12.8,fair,Needs rehabilitation of supplies ,yes,Colorless and odorless,28.8,7.76,3560,1690,No,Communal,yes,2015-03-02,5,2,yes,0.05,no,,,,Abdulle mohamed abdi,907258933,KAALO Relief and Development,,Construction of elevated tank,2018-03-02,"1. Rehabilitation of pump and riser pipes
2. Extension of pipelines.
3. Rehabilitation of kiosks and animal thoughts",,,,,,,,,,,,,,,,,
2022-03-02T08:32:16.244+03:00,2022-03-06T06:11:33.642+03:00,2022-03-02,borehole,2022-03-02,"Puntland Ministry of Energy, Minerals and Water",,"Khadra
Mohamed 
Barre",mudug,Gaalkacyo,Ballibusle,,German Agency for Technical Assistance,,1986-03-02,Ballibusle BH 1,7.0982223 48.1592113 243.8624267578125 3.773,7.0982223,48.1592113,243.8624268,3.773,no,,,3,rural urban,TRUE,TRUE,http://classic.ona.io/api/v1/files/25162457?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1646199297131.jpg,yes,,yes,,22400,,,,0,180,pvc,8,,12,8,,3,,,,,,,,,,,,,,,,,,,,,Concrete/Masonry tank,28,Galvanised Steel,1500,1500,1,2,yes,,,Submersible Pump,Lowara,15,125,Generator,Parkins,45,,,poor,Needs rehabilitation of kiosks and animal thoughts,yes,Colorless and odorless,29.2,7.9,3760,1850,"No
",Communal,yes,2005-03-02,3,0,yes,0.05,no,,,,Mohamed abdi salaad,907783455,,,,,"1.  (Emergence) rehibilatation of pump and riser pipes 
2. Full rehabilitation( kiosks, elevated tank, and animal thoughts).
2. Installation of solar power.
3. Pipelines rehabilitation 
4. Fuel supporting.
5. Fancing.",,,,,,,,,,,,,,,,,
2022-03-02T12:40:13.550+03:00,2022-04-18T20:43:29.349+03:00,2022-03-02,borehole,2022-03-02,"Puntland Ministry of Energy, Minerals and Water",,Eng Mohamed Muse Abdi,bari,Bandarbeyla,Dhuur,0.5,Community_,,2016-10-23,Dhuur borehole,9.2445017 50.6021417 93.0 4.1,9.2445017,50.6021417,93,4.1,no,,,4,rural urban,TRUE,TRUE,http://classic.ona.io/api/v1/files/26203938?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1650303167675.jpg,yes,,yes,,600,200,,1500,2,120,pvc,8,100,15,7,,,,,,,,,,,,,,,,,,,,,,,,,Galvanised Steel,,,,,yes,6,10,,,,,,,,,,,,no,,33,7.1,2150,1030,,Private/Individual,,,,,yes,0.02,,,,,,,CARE Somalia,,Replacement of main raising pipes and submersible pump.,2020-10-22,"1: Solar
2: storage water tank.
3: Generator 
4: pipes ",,,,,,,,,,,,,,,,,
2022-03-02T13:54:04.849+03:00,2022-04-18T11:33:58.749+03:00,2022-03-02,dugwell,2022-03-02,"Puntland Ministry of Energy, Minerals and Water",,Mohamed Muse Abdi,bari,Bandarbeyla,Dhuur,1,Community_,,2015-08-22,Dhuur dug well 3,9.2454713 50.6056739 92.6 4.88,9.2454713,50.6056739,92.6,4.88,no,,,4,urban,FALSE,TRUE,http://classic.ona.io/api/v1/files/26197912?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1650270281832.jpg,yes,,yes,,3600,,,,,,,,,,,,,10,7,yes,12,12,,,,,,,,,,,,,,,,Steel tank,,Galvanised Steel,,,3,,,,,Submersible Pump,Lowara,,,Hybrid - Solar/Generator,,,,,,,no,,35,7.5,1950,990,,Communal,no,,,,yes,0.01,,,,,,,Community_e,,Extension of distribution pipe line to village,2019-08-22,"1: Extension of distribution pipe line to village 
2: Construction of another water kiosks
4: Replacement of submersible pump and raising pipes.
4: Generator ",,,,,,,,,,,,,,,,,
2022-03-02T12:35:28.577+03:00,2022-03-06T22:17:39.072+03:00,2022-03-02,borehole,2022-03-02,"Puntland Ministry of Energy, Minerals and Water",,"Khadra
Mohamed 
Barre",mudug,Gaalkacyo,Samansamdho,500,Community,,2021-04-02,Samansabdho BH,6.9928077 47.6915199 294.8455810546875 4.645,6.9928077,47.6915199,294.8455811,4.645,no,,,2,rural,TRUE,FALSE,http://classic.ona.io/api/v1/files/25176215?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1646214029610.jpg,yes,,yes,,1050,15000,,20000,0,146,pvc,8,,16.7,12,,2,,,,,,,,,,,,,,,,,,,,,Concrete/Masonry tank,50,Galvanised Steel,150,,2,2,yes,12,72,Submersible Pump,,,120,Generator,Parkins,55,,,fair,,yes,Colorless and odorless,37.5,8.37,4050,1990,No,Communal,yes,2021-08-02,5,1,yes,,yes,,,,Abdinasir mohamed jama,907550741,KAALO Relief and Development,,"Construction of generator room
Animal thoughts 
Koisks ",2021-12-02," Fuel supporting 
 Extension pipelines 
 Water committees training 
Fancing
 Installation of solar power.",,"the sources is 500 Km away, how is this possible?",,,,,,,,,,,,,,,
2022-03-02T13:13:01.454+03:00,2022-04-18T12:11:50.008+03:00,2022-03-02,dugwell,2022-03-02,"Puntland Ministry of Energy, Minerals and Water",,Mohamed Muse Abdi,bari,Bandarbeyla,Dhuur,0.5,Community_,,2016-08-22,Dhuur dug well,9.245295 50.6040833 95.1 4.6,9.245295,50.6040833,95.1,4.6,no,,,4,rural,TRUE,FALSE,http://classic.ona.io/api/v1/files/26198157?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1650272607144.jpg,yes,,yes,,1800,900,,3000,,,,,,,,,,9,5,no,,,,,,,,,,,,,,,,,,,,,,,,,yes,26,10,,,,,,,,,,,,no,,30.3,7.2,1920,965,,,,,,,,,,,,,,,Community_e,,Cleaning of the dug well ,2020-08-23,"1: Construction of storage water tank
2: Raising pipes and submersible pump.
3: Animal water troughs
4: Distribution pipe lines
5: Solar and generator.
6: extension  of of distribution pipe lines in to the village
7: Construction of cover protection of the dug well",,,,,,,,,,,,,,,,,
2022-03-02T11:09:56.361+03:00,2022-03-06T06:13:35.621+03:00,2022-03-02,borehole,2022-03-02,"Puntland Ministry of Energy, Minerals and Water",,"Khadra
Mohamed 
Barre",mudug,Gaalkacyo,Gacmo fale,,Danish Refugee Council (Puntland),,2021-01-05,Gacmofale BH,7.0381939 47.7817081 267.22467041015625 4.288,7.0381939,47.7817081,267.2246704,4.288,no,,,2,,,,http://classic.ona.io/api/v1/files/25162465?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1646208750322.jpg,no,4,no,Unknown problem,,,,,,222,pvc,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,Abdiweli mohamud,907783729,,,,,1. Emergency to study for problems this borehole.,,,,Water Usage type (urban/rural) is not indicated,,,,,,,,,,,Why was water quality not checked?,,
2022-03-05T08:39:02.218+03:00,2022-03-07T07:20:47.631+03:00,2022-03-05,borehole,2022-03-05,"Puntland Ministry of Energy, Minerals and Water",,"Khadra
Mohamed 
Barre",mudug,Gaalkacyo,Galkacayo,,not_specified,Galkacayo water company,2009-03-05,Galkacayo water company BH 6,6.7923506 47.4137397 268.0556640625 3.567,6.7923506,47.4137397,268.0556641,3.567,no,,,20,urban,FALSE,TRUE,http://classic.ona.io/api/v1/files/25207787?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1646458949433.jpg,yes,,yes,,66000,,,,,210,pvc,12,55,48,24,,3,,,,,,,,,,,,,,,,,,,,,Steel tank,750,Galvanised Steel,8000,11000,0,,no,,,Submersible Pump,Franklin ,22,150,Generator,,350,,,,,yes,,,,,,,Private-Public-Partnership,,,,,yes,0.05,no,,,,Abdirazak yusuf ahmed,907795579,,,,,,,,,,,,,,,,,"Confirm the capacity, in m3",,,Why was water quality not checked?,,
2022-03-05T09:17:05.119+03:00,2022-03-07T06:57:26.707+03:00,2022-03-05,borehole,2022-03-05,"Puntland Ministry of Energy, Minerals and Water",,"Khadra
Mohamed 
Barre",mudug,Gaalkacyo,Galkacayo,,United Nations Children's Fund,,2003-03-05,Galkacayo water company BH 2,6.7940122 47.4114582 251.4361572265625 3.216,6.7940122,47.4114582,251.4361572,3.216,no,,,20,urban,FALSE,TRUE,http://classic.ona.io/api/v1/files/25238765?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1646461164016.jpg,yes,,yes,,77000,,,,,220,pvc,12,,45,15,,3,,,,,,,,,,,,,,,,,,,,,Steel tank,750,PVC,5000,11000,,,no,,,Submersible Pump,Lowara,22,120,Generator,350,350,,,,,yes,Colorless and odorless ,27.6,7.61,3300,1635,,Private-Public-Partnership,,,,,yes,0.05,no,,,,Abdirazak yusuf,907795579,,,,,1. Rehabilitation of elevated water tank ,,,,,,,,,,,,"Confirm the capacity, in m3",,,,,
2022-03-05T10:06:26.286+03:00,2022-03-07T22:41:26.847+03:00,2022-03-05,borehole,2022-03-05,"Puntland Ministry of Energy, Minerals and Water",,"Khadra
Mohamed 
Barre",mudug,Gaalkacyo,Galkacayo,,not_specified,Galkacayo Water Company,2019-03-05,Galkacayo BH 8,6.7865529 47.4299743 255.29998779296875 3.93,6.7865529,47.4299743,255.2999878,3.93,no,,,20,urban,FALSE,TRUE,http://classic.ona.io/api/v1/files/25238786?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1646464158690.jpg,yes,,yes,,77000,,,,,220,pvc,12,,45,15,,2.3,,,,,,,,,,,,,,,,,,,,,Concrete/Masonry tank,250,Galvanised Steel,2500,5000,,,no,,,Submersible Pump,Franklin ,22,140,Hybrid - Solar/Generator,Parkins ,70,YL365D_36D,30.7,good,,yes,Colorless and odorless ,29.8,7.33,4050,2025,Sampled,Private-Public-Partnership,,,,,yes,0.05,no,,,,Abdirazak yusuf,907795579,,,,,,,,,,,,,,,,,,,,,,
2022-03-05T09:38:37.549+03:00,2022-03-07T07:05:23.336+03:00,2022-03-05,borehole,2022-03-05,"Puntland Ministry of Energy, Minerals and Water",,"Khadra

Mohamed ahmed
Mohamed Omar,",mudug,Gaalkacyo,Galkacayo,,not_specified,Galkacayo Water Company,2006-03-05,Galkacayo BH 3,6.7983486 47.4099016 269.90570068359375 4.288,6.7983486,47.4099016,269.9057007,4.288,no,,,20,urban,FALSE,TRUE,http://classic.ona.io/api/v1/files/25238785?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1646462533842.jpg,yes,,yes,,77000,,,,,220,pvc,12,,27,15,,3.3,,,,,,,,,,,,,,,,,,,,,Concrete/Masonry tank,30,Stainless Steel,2000,11000,,,no,,,Submersible Pump,Franklin ,22,104,Generator,,350,,,,,yes,Colorless and odorless ,28.3,7.41,3380,1722,,Private-Public-Partnership,,,,,yes,0.05,no,,,,Abdirazak yusuf,907795579,,,,,1. Construction of new elevated tank ,,,,,,,,,,,,,,,,,
2022-03-05T08:56:51.376+03:00,2022-03-07T06:51:58.469+03:00,2022-03-05,borehole,2022-03-05,"Puntland Ministry of Energy, Minerals and Water",,"Khadra
Mohamed 
Barre",mudug,Gaalkacyo,Galkacayo,,United Nations Children's Fund,,2003-03-05,Galkacayo Water Company BH 1,6.7959241 47.4156132 254.637451171875 3.752,6.7959241,47.4156132,254.6374512,3.752,no,,,20,urban,FALSE,TRUE,http://classic.ona.io/api/v1/files/25207793?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1646460065592.jpg,yes,,yes,,77000,,,,,220,pvc,12,,26,15,,3,,,,,,,,,,,,,,,,,,,,,Steel tank,750,PVC,6000,11000,,,no,,,Submersible Pump,Saha,22,150,Hybrid - Solar/Generator,,70,SZYL_M350-36,31.5,good,,yes,Colorless and odorless ,27.5,7.92,3510,1720,,Private-Public-Partnership,,,,,yes,0.05,no,,,,Abdirazak yusuf,907795579,,,,,1. Pipelines extension ,,,,,,,,,,,,"Confirm the capacity, in m3",,,,,
2022-03-05T09:24:51.861+03:00,2022-03-07T22:35:27.197+03:00,2022-03-05,borehole,2022-03-05,"Puntland Ministry of Energy, Minerals and Water",,"Khadra
Mohamed
Barre",mudug,Gaalkacyo,Galkacayo,,not_specified,Galkacayo Water Company / Qatar charity,2015-03-05,Galkacayo BH 7,6.7962296 47.4103577 268.024658203125 4.824,6.7962296,47.4103577,268.0246582,4.824,no,,,20,urban,FALSE,TRUE,http://classic.ona.io/api/v1/files/25238766?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1646461971383.jpg,yes,,yes,,77000,,,,,200,pvc,12,,26,15,,3,,,,,,,,,,,,,,,,,,,,,Steel tank,750,Galvanised Steel,2500,5000,,,yes,,,Submersible Pump,Etx,22,160,Generator,Parkins ,350,,,good,,yes,Colorless and odorless ,27.6,7.92,3470,1718,,Private-Public-Partnership,,,,,yes,0.05,no,,,,Abdirazak yusuf,907795579,,,,,1. Extension of pipelines ,,,,,,,,,,,,"Confirm the capacity, in m3",,,,,
2022-03-05T11:48:34.391+03:00,2022-03-07T22:45:36.696+03:00,2022-03-05,borehole,2022-03-05,"Puntland Ministry of Energy, Minerals and Water",,"Khadra
Mohamed 
Barre",mudug,Gaalkacyo,Galkacayo,,Private,,2002-03-05,Daryeel Galkacayo BH 1,6.8165208 47.4376178 263.59014892578125 3.752,6.8165208,47.4376178,263.5901489,3.752,no,,,20,urban,FALSE,TRUE,http://classic.ona.io/api/v1/files/25238794?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1646470426013.jpg,yes,,yes,,10000,,,,,220,pvc,8,,13.3,20,,3,,,,,,,,,,,,,,,,,,,,,Concrete/Masonry tank,160,PVC,10000,700,3,,no,,,Submersible Pump,Lowara,22,138,Hybrid - Solar/Generator,Parkins,160,SS360-72,32.76,good,,yes,Colorless and odorless ,35.1,7.28,3260,1615,,Private/Individual,,,,,yes,0.01,no,,,,Mohamed farah,907787058,,,,,"1. Extra pump
2. Riser pipes rehabilitation 
3. Water tank rehabilitation.",,,,,,,,,,,,,,,,,
2022-03-05T12:04:36.466+03:00,2022-03-07T22:50:04.270+03:00,2022-03-05,borehole,2022-03-05,"Puntland Ministry of Energy, Minerals and Water",,"Khadra
Mohamed 
Barre",mudug,Gaalkacyo,Galkacayo,,Private,,2016-03-05,Galkacayo daryeel BH 2,6.8166163 47.4382128 261.65032958984375 4.288,6.8166163,47.4382128,261.6503296,4.288,no,,,20,urban,FALSE,TRUE,http://classic.ona.io/api/v1/files/25238795?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1646471279414.jpg,yes,,yes,,10000,,,,,230,pvc,8,,13.3,18,,3,,,,,,,,,,,,,,,,,,,,,Concrete/Masonry tank,160,PVC,10000,700,,,no,,,Submersible Pump,Lowara,22,156,Hybrid - Solar/Generator,,160,SS360_72,32.76,good,,yes,Colorless and odorless ,,,,,,Utility/Local Authority,,,,,yes,0.01,no,,,,Mohamed farah,907787058,,,,,1. Extension of pipelines ,,,,,,,,,,,,,,,Why was water quality not checked?,,
2022-03-05T11:23:45.271+03:00,2022-03-07T23:05:24.608+03:00,2022-03-05,borehole,2022-03-05,"Puntland Ministry of Energy, Minerals and Water",,"Khadra
Mohamed
Barre",mudug,Gaalkacyo,Galkacayo,,Private,,2007-03-05,Galkacayo agoonta BH,6.8163557 47.4337054 259.0 4.966,6.8163557,47.4337054,259,4.966,no,,,20,urban,FALSE,TRUE,http://classic.ona.io/api/v1/files/25238793?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1646468973975.jpg,yes,,yes,,500,,,,,230,pvc,8,,8,18,,2.4,,,,,,,,,,,,,,,,,,,,,Concrete/Masonry tank,24,PVC,600,50,,,yes,10,8,Submersible Pump,Lowara,18,138,Hybrid - Solar/Generator,,70,BR_M300W,21,good,,yes,Colorless and odorless,32.1,7.81,3340,1642,,Private/Individual,,,,,yes,0.01,no,,,,Abdulqaadir xasan jama,907705737,,,,,"1. Extension of pipelines.
2. Extension and installation of solar power 
3. Rehabilitation of generator.
4. Construction of new elevated tank.",,,,,,,,,,,,,,,,,
2022-03-05T08:49:32.969+03:00,2022-03-07T07:16:01.480+03:00,2022-03-05,borehole,2022-03-05,"Puntland Ministry of Energy, Minerals and Water",,"Khadra
Mohamed 
Barre",mudug,Gaalkacyo,Galkacayo,,not_specified,Galkacyo water company,2012-03-05,Galkacayo water company BH 4,6.7923229 47.4138098 256.722900390625 3.43,6.7923229,47.4138098,256.7229004,3.43,no,,,20,urban,FALSE,TRUE,http://classic.ona.io/api/v1/files/25207789?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1646459515415.jpg,yes,,yes,,11000,,,,,220,pvc,12,,30,15,,2.3,,,,,,,,,,,,,,,,,,,,,Steel tank,750,PVC,4000,11000,,,no,,,Submersible Pump,Franklin ,15,150,Generator,Parkins ,350,,,,,yes,,,,,,,Private-Public-Partnership,,,,,no,,no,,,,"Abdirazak yusuf
",907795579,,,,,,,,,,,,,,,,,"Confirm the capacity, in m3",,,Why was water quality not checked?,,
2022-03-05T10:51:03.461+03:00,2022-03-05T22:14:04.416+03:00,2022-03-05,spring,2022-03-05,"Puntland Ministry of Energy, Minerals and Water",,Eng Mohamed Muse Abdi,bari,Bandarbeyla,Il raxma,1.5,,,,2,9.4989125 50.8073479 -18.1 4.25,9.4989125,50.8073479,-18.1,4.25,no,,,2,rural urban,TRUE,TRUE,http://classic.ona.io/api/v1/files/25156898?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1646466894613.jpg,yes,,yes,,6000,,,,,,,,,,,,,,,,,,,,,,,,,,yes,4,,,,,,Concrete/Masonry tank,,Galvanised Steel,,,,,yes,7,9,Submersible Pump,Lowara,,,Solar,,,DS60250M,13.5,poor,"The yield of spring is very low 
Bender bayla district have two spring both they distribute water to elevated water tank,  then elevated water tank distribute to households,
Il raxmo spring and bayla spring shares pipe lines, house holds, number of water trucking.",no,,34,7.4,3100,1520,,Communal,yes,2016-07-05,5,0,no,,no,,,,Cabdi maxamed salad,907675074,Other,,"Construction of caretaker room
Installation if solar power system.
Construction solar accessories storage room.",2014-08-09,"Installation of extra solar power panels.
Replacent of all rusted pipes.",,,,,,,,,,,,,,,,,
2022-03-05T10:09:25.694+03:00,2022-03-05T12:31:28.592+03:00,2022-03-05,spring,2022-03-05,"Puntland Ministry of Energy, Minerals and Water",,Engr Mohamed Muse Abdi,bari,Bandarbeyla,Bayla district,1,,,,Bayla spring,9.5007969 50.8121613 -39.4 5.0,9.5007969,50.8121613,-39.4,5,no,,,2,rural urban,TRUE,TRUE,http://classic.ona.io/api/v1/files/25143881?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1646464646286.jpg,yes,,yes,,7200,,,,,,,,,,,,,,,,,,,,,,,,,,yes,5,,,,,,Concrete/Masonry tank,23,Galvanised Steel,,200,,,yes,17,9,Surface mounted Pump,Lowara,,,Generator,Prkins,33,,,poor,"Because the yield of spring is very low, in addition to the pipe lines are rusted, and  there is no animal troughs and kiosks.
Bender bayla Have two spring which distribute water to one elevated water tank, then to the house holds.
Both spring shares households, pipe lines.",no,,30,6.95,2850,1430,,Communal,yes,2016-07-05,5,0,no,,no,,,,Cabdi maxamed salad,907675074,Community_e,,Supplied of generator and 300 of pipe lines.,2020-04-05,"Installation of solar power system.
Construction of elevated water tank.
Replacement of all rusted pipes.
to Increase the yield of the spring either by digging deep or building large storage.",,,,,,,,,,,,,,,,,
2022-03-05T12:13:09.135+03:00,2022-03-07T22:57:00.350+03:00,2022-03-05,borehole,2022-03-05,"Puntland Ministry of Energy, Minerals and Water",,"Khadra 
Mohamed 
Barre",mudug,Gaalkacyo,Daryeel,,Private,,2015-03-05,Galkacayo daryleel BH 3,6.8159721 47.4382714 262.75250244140625 4.824,6.8159721,47.4382714,262.7525024,4.824,no,,,20,urban,FALSE,TRUE,http://classic.ona.io/api/v1/files/25238796?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1646471741201.jpg,no,,no," A year ago,
 For Operational problem stopped.
",,,,,,160,pvc,8,,,,,,,,,,,,,,,,,,,,,,,,,,,160,PVC,,,,,no,,,No Pump,,,,,,,,,poor,Absolutely this source not functioning ,no,,,,,,,Utility/Local Authority,,,,,no,,no,,,,Mohamed farah,907787058,,,,,1. Fully rehabilitation of this borehole and its supply.,,,,,,,,,,,,,,,Why was water quality not checked?,,
2022-03-06T09:13:47.712+03:00,2022-03-18T18:47:01.345+03:00,2022-03-06,borehole,2022-03-06,"Puntland Ministry of Energy, Minerals and Water",,"Khadra
Mohamed 
Barre",mudug,Gaalkacyo,Raasqabobe,1.5,Community,,2015-03-06,Raasqaboobe BH,6.8593023 47.4473214 269.08099365234375 4.288,6.8593023,47.4473214,269.0809937,4.288,no,,,20,urban rural,TRUE,TRUE,http://classic.ona.io/api/v1/files/25514431?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1646547453154.jpg,yes,,yes,,2000,100,,100,40,160,pvc,8,,24,8,,3,,,,,,,,,,,,,,,,,,,,,Concrete/Masonry tank,120,Galvanised Steel,600,,,2,no,,,Submersible Pump,,11,130,Generator,Parkins,40,,,poor,Needs full rehabilitation,yes,Colorless and odorless,28.5,7.95,3240,1620,No,Communal,yes,2015-03-06,3,0,yes,0.05,yes,0.1,,,Osmaan xaaji faarah,907783901,,,,,"1. Rehabilitation of generator
2. Construction of new kiosks.
3. Rehabilitation of pipelines.",,,,,,,,,,,,,,"Please confirm the acreage, in Ha",,,
2022-03-06T12:01:37.347+03:00,2022-03-08T07:34:10.929+03:00,2022-03-06,borehole,2022-03-06,"Puntland Ministry of Energy, Minerals and Water",,"Khadra 
Mohamed 
Barre",mudug,Gaalkacyo,Aljaziira/ Galkacayo ,,Private,,2017-03-06,Aljaziira BH,6.8009848 47.4198503 258.3416748046875 4.645,6.8009848,47.4198503,258.3416748,4.645,no,,,20,urban,FALSE,TRUE,http://classic.ona.io/api/v1/files/25267532?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1646557430202.jpg,yes,,yes,,3500,,,,,205,pvc,8,,60,15,,2,,,,,,,,,,,,,,,,,,,,,Concrete/Masonry tank,200,PVC,6000,500,4,0,yes,10,8,Submersible Pump,Lowara,18,150,Generator,Parkins,160,,,good,,yes,Colorless and odorless,29.6,8.08,2540,1270,,Private/Individual,,,,,yes,0.1,no,,,,Ahmed seeraar,90779517,Private,,Rehabilitation of generator,,1. Installation of solar power ,,,,,,,,,,,,,,,,,
2022-03-06T08:31:04.399+03:00,2022-03-07T07:10:27.922+03:00,2022-03-06,borehole,2022-03-06,"Puntland Ministry of Energy, Minerals and Water",,"Khadra 
Mohamed 
Barre",mudug,Gaalkacyo,Galkacayo,1.2,United Nations High Commission for Refugees,,2015-03-06,Salaama IDP 2 BH,6.8555099 47.4437124 267.9908447265625 4.645,6.8555099,47.4437124,267.9908447,4.645,no,,,20,urban,FALSE,TRUE,http://classic.ona.io/api/v1/files/25267527?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1646544986724.jpg,yes,,yes,,312000,,,,,210,pvc,8,84,15,16,,3,,,,,,,,,,,,,,,,,,,,,Concrete/Masonry tank,81,PVC,4200,,9,2,no,,,Submersible Pump,Lowara,15,126,Hybrid - Solar/Generator,Parkins,65,300_73M,22.5,fair,"This supply has generator problem, so needs rehabilitation of generator ",yes,Colorless and odorless,29.5,7.8,3370,1667,Sampled,Communal,yes,2015-03-06,4,2,yes,0.05,no,,,,Abdulaqadir yusuf,907795893,not_specified,,Construction of elevated water,2018-03-06,"1. Rehabilitation of pipelines 
2. Rehabilitation of pump 
3. Rehabilitation of generator ( Emergency).",,,,,,,,,,,,,"Confirm the number of users, 312,000?",,,,
